username,key,value
postnl,1,Wat is PostNL?
postnl,2,Wat nou als ik veel pakketten moet versturen?
postnl,3,Vertel me meer over de haalservice
postnl,4,Schrijf een mail voor een prospect over de haalservice
postnl,5,Wat zijn de duurzaamheidsvoordelen van de haalservice?
datastax,1,What is DataStax?
datastax,2,What is Vector Search?
datastax,3,Tell me more about why Astra DB is the best!
datastax,4,Write an email for a prospect about Astra DB
datastax,5,What advantages does Astra DB offer for Generative AI?
datastax,6,What strategies exits for meaningful agent interaction
datastax,7,How can I use Astra DB in a RAG application?
crossriver,1,Tell me about Cross River Bank
crossriver,2,What are some examples of Cross River giving to the community?
crossriver,3,I had a PPP loan taken out fraudulently. What should I do?
fathom,1,Why should I use Fathom?
fathom,2,What did Fathom do for Ganymede?
fathom,3,What are some customers Fathom has worked with and what problems did they solve?

